INFO	Valeur Threshold	Nombre d'erosions	Taille d'erosion	Nombre dilatation	Taille dilatation
MIN	140	1	1	1	1
MIN	160	3	3	3	3

Nombre Comp trouve	Valeur Threshold	Nombre d'erosions	Taille d'erosion	Nombre dilatation	Taille dilatation
2	145	3	3	1	2
2	145	3	3	1	3
2	145	3	3	2	1
2	145	3	3	2	2
2	145	3	3	2	3
2	145	3	3	3	1
2	145	3	3	3	2
2	145	3	3	3	3
76	146	1	1	1	1
76	146	1	1	1	2
76	146	1	1	1	3
72	146	1	1	2	1
72	146	1	1	2	2
72	146	1	1	2	3
44	146	1	1	3	1
44	146	1	1	3	2
44	146	1	1	3	3
76	146	1	2	1	1
76	146	1	2	1	2
76	146	1	2	1	3
72	146	1	2	2	1
72	146	1	2	2	2
72	146	1	2	2	3
44	146	1	2	3	1
44	146	1	2	3	2
44	146	1	2	3	3
76	146	1	3	1	1
76	146	1	3	1	2
76	146	1	3	1	3
72	146	1	3	2	1
72	146	1	3	2	2
72	146	1	3	2	3
44	146	1	3	3	1
44	146	1	3	3	2
44	146	1	3	3	3
49	146	2	1	1	1
49	146	2	1	1	2
49	146	2	1	1	3
49	146	2	1	2	1
49	146	2	1	2	2
49	146	2	1	2	3
49	146	2	1	3	1
49	146	2	1	3	2
49	146	2	1	3	3
49	146	2	2	1	1
49	146	2	2	1	2
49	146	2	2	1	3
49	146	2	2	2	1
49	146	2	2	2	2
49	146	2	2	2	3
49	146	2	2	3	1
49	146	2	2	3	2
49	146	2	2	3	3
49	146	2	3	1	1
49	146	2	3	1	2
49	146	2	3	1	3
49	146	2	3	2	1
49	146	2	3	2	2
49	146	2	3	2	3
49	146	2	3	3	1
49	146	2	3	3	2
49	146	2	3	3	3
2	146	3	1	1	1
2	146	3	1	1	2
2	146	3	1	1	3
2	146	3	1	2	1
2	146	3	1	2	2
2	146	3	1	2	3
2	146	3	1	3	1
2	146	3	1	3	2
2	146	3	1	3	3
2	146	3	2	1	1
2	146	3	2	1	2
2	146	3	2	1	3
2	146	3	2	2	1
2	146	3	2	2	2
2	146	3	2	2	3
2	146	3	2	3	1
2	146	3	2	3	2
2	146	3	2	3	3
2	146	3	3	1	1
2	146	3	3	1	2
2	146	3	3	1	3
2	146	3	3	2	1
2	146	3	3	2	2
2	146	3	3	2	3
2	146	3	3	3	1
2	146	3	3	3	2
2	146	3	3	3	3
78	147	1	1	1	1
78	147	1	1	1	2
78	147	1	1	1	3
74	147	1	1	2	1
74	147	1	1	2	2
74	147	1	1	2	3
45	147	1	1	3	1
45	147	1	1	3	2
45	147	1	1	3	3
78	147	1	2	1	1
78	147	1	2	1	2
78	147	1	2	1	3
74	147	1	2	2	1
74	147	1	2	2	2
74	147	1	2	2	3
45	147	1	2	3	1
45	147	1	2	3	2
45	147	1	2	3	3
78	147	1	3	1	1
78	147	1	3	1	2
78	147	1	3	1	3
74	147	1	3	2	1
74	147	1	3	2	2
74	147	1	3	2	3
45	147	1	3	3	1
45	147	1	3	3	2
45	147	1	3	3	3
49	147	2	1	1	1
49	147	2	1	1	2
49	147	2	1	1	3
49	147	2	1	2	1
49	147	2	1	2	2
49	147	2	1	2	3
49	147	2	1	3	1
49	147	2	1	3	2
49	147	2	1	3	3
49	147	2	2	1	1
49	147	2	2	1	2
49	147	2	2	1	3
49	147	2	2	2	1
49	147	2	2	2	2
49	147	2	2	2	3
49	147	2	2	3	1
49	147	2	2	3	2
49	147	2	2	3	3
49	147	2	3	1	1
49	147	2	3	1	2
49	147	2	3	1	3
49	147	2	3	2	1
49	147	2	3	2	2
49	147	2	3	2	3
49	147	2	3	3	1
49	147	2	3	3	2
49	147	2	3	3	3
1	147	3	1	1	1
1	147	3	1	1	2
1	147	3	1	1	3
1	147	3	1	2	1
1	147	3	1	2	2
1	147	3	1	2	3
1	147	3	1	3	1
1	147	3	1	3	2
1	147	3	1	3	3
1	147	3	2	1	1
1	147	3	2	1	2
1	147	3	2	1	3
1	147	3	2	2	1
1	147	3	2	2	2
1	147	3	2	2	3
1	147	3	2	3	1
1	147	3	2	3	2
1	147	3	2	3	3
1	147	3	3	1	1
1	147	3	3	1	2
1	147	3	3	1	3
1	147	3	3	2	1
1	147	3	3	2	2
1	147	3	3	2	3
1	147	3	3	3	1
1	147	3	3	3	2
1	147	3	3	3	3
79	148	1	1	1	1
79	148	1	1	1	2
79	148	1	1	1	3
74	148	1	1	2	1
74	148	1	1	2	2
74	148	1	1	2	3
45	148	1	1	3	1
45	148	1	1	3	2
45	148	1	1	3	3
79	148	1	2	1	1
79	148	1	2	1	2
79	148	1	2	1	3
74	148	1	2	2	1
74	148	1	2	2	2
74	148	1	2	2	3
45	148	1	2	3	1
45	148	1	2	3	2
45	148	1	2	3	3
79	148	1	3	1	1
79	148	1	3	1	2
79	148	1	3	1	3
74	148	1	3	2	1
74	148	1	3	2	2
74	148	1	3	2	3
45	148	1	3	3	1
45	148	1	3	3	2
45	148	1	3	3	3
48	148	2	1	1	1
48	148	2	1	1	2
48	148	2	1	1	3
48	148	2	1	2	1
48	148	2	1	2	2
48	148	2	1	2	3
48	148	2	1	3	1
48	148	2	1	3	2
48	148	2	1	3	3
48	148	2	2	1	1
48	148	2	2	1	2
48	148	2	2	1	3
48	148	2	2	2	1
48	148	2	2	2	2
48	148	2	2	2	3
48	148	2	2	3	1
48	148	2	2	3	2
48	148	2	2	3	3
48	148	2	3	1	1
48	148	2	3	1	2
48	148	2	3	1	3
48	148	2	3	2	1
48	148	2	3	2	2
48	148	2	3	2	3
48	148	2	3	3	1
48	148	2	3	3	2
48	148	2	3	3	3
1	148	3	1	1	1
1	148	3	1	1	2
1	148	3	1	1	3
1	148	3	1	2	1
1	148	3	1	2	2
1	148	3	1	2	3
1	148	3	1	3	1
1	148	3	1	3	2
1	148	3	1	3	3
1	148	3	2	1	1
1	148	3	2	1	2
1	148	3	2	1	3
1	148	3	2	2	1
1	148	3	2	2	2
1	148	3	2	2	3
1	148	3	2	3	1
1	148	3	2	3	2
1	148	3	2	3	3
1	148	3	3	1	1
1	148	3	3	1	2
1	148	3	3	1	3
1	148	3	3	2	1
1	148	3	3	2	2
1	148	3	3	2	3
1	148	3	3	3	1
1	148	3	3	3	2
1	148	3	3	3	3
78	149	1	1	1	1
78	149	1	1	1	2
78	149	1	1	1	3
75	149	1	1	2	1
75	149	1	1	2	2
75	149	1	1	2	3
45	149	1	1	3	1
45	149	1	1	3	2
45	149	1	1	3	3
78	149	1	2	1	1
78	149	1	2	1	2
78	149	1	2	1	3
75	149	1	2	2	1
75	149	1	2	2	2
75	149	1	2	2	3
45	149	1	2	3	1
45	149	1	2	3	2
45	149	1	2	3	3
78	149	1	3	1	1
78	149	1	3	1	2
78	149	1	3	1	3
75	149	1	3	2	1
75	149	1	3	2	2
75	149	1	3	2	3
45	149	1	3	3	1
45	149	1	3	3	2
45	149	1	3	3	3
48	149	2	1	1	1
48	149	2	1	1	2
48	149	2	1	1	3
48	149	2	1	2	1
48	149	2	1	2	2
48	149	2	1	2	3
48	149	2	1	3	1
48	149	2	1	3	2
48	149	2	1	3	3
48	149	2	2	1	1
48	149	2	2	1	2
48	149	2	2	1	3
48	149	2	2	2	1
48	149	2	2	2	2
48	149	2	2	2	3
48	149	2	2	3	1
48	149	2	2	3	2
48	149	2	2	3	3
48	149	2	3	1	1
48	149	2	3	1	2
48	149	2	3	1	3
48	149	2	3	2	1
48	149	2	3	2	2
48	149	2	3	2	3
48	149	2	3	3	1
48	149	2	3	3	2
48	149	2	3	3	3
0	149	3	1	1	1
0	149	3	1	1	2
0	149	3	1	1	3
0	149	3	1	2	1
0	149	3	1	2	2
0	149	3	1	2	3
0	149	3	1	3	1
0	149	3	1	3	2
0	149	3	1	3	3
0	149	3	2	1	1
0	149	3	2	1	2
0	149	3	2	1	3
0	149	3	2	2	1
0	149	3	2	2	2
0	149	3	2	2	3
0	149	3	2	3	1
0	149	3	2	3	2
0	149	3	2	3	3
0	149	3	3	1	1
0	149	3	3	1	2
0	149	3	3	1	3
0	149	3	3	2	1
0	149	3	3	2	2
0	149	3	3	2	3
0	149	3	3	3	1
0	149	3	3	3	2
0	149	3	3	3	3
78	150	1	1	1	1
78	150	1	1	1	2
78	150	1	1	1	3
75	150	1	1	2	1
75	150	1	1	2	2
75	150	1	1	2	3
48	150	1	1	3	1
48	150	1	1	3	2
48	150	1	1	3	3
78	150	1	2	1	1
78	150	1	2	1	2
78	150	1	2	1	3
75	150	1	2	2	1
75	150	1	2	2	2
75	150	1	2	2	3
48	150	1	2	3	1
48	150	1	2	3	2
48	150	1	2	3	3
78	150	1	3	1	1
78	150	1	3	1	2
78	150	1	3	1	3
75	150	1	3	2	1
75	150	1	3	2	2
75	150	1	3	2	3
48	150	1	3	3	1
48	150	1	3	3	2
48	150	1	3	3	3
47	150	2	1	1	1
47	150	2	1	1	2
47	150	2	1	1	3
47	150	2	1	2	1
47	150	2	1	2	2
47	150	2	1	2	3
47	150	2	1	3	1
47	150	2	1	3	2
47	150	2	1	3	3
47	150	2	2	1	1
47	150	2	2	1	2
47	150	2	2	1	3
47	150	2	2	2	1
47	150	2	2	2	2
47	150	2	2	2	3
47	150	2	2	3	1
47	150	2	2	3	2
47	150	2	2	3	3
47	150	2	3	1	1
47	150	2	3	1	2
47	150	2	3	1	3
47	150	2	3	2	1
47	150	2	3	2	2
47	150	2	3	2	3
47	150	2	3	3	1
47	150	2	3	3	2
